"TimeCreated","NameSpacename","Query","EventID"
"9/6/2018 10:28:42 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 10:28:41 PM","ROOT\SecurityCenter","SELECT * FROM __InstanceOperationEvent WHERE TargetInstance ISA 'AntiVirusProduct' OR TargetInstance ISA 'FirewallProduct' OR TargetInstance ISA 'AntiSpywareProduct'","5860"
"9/6/2018 9:52:36 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 9:38:42 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 8:52:53 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 7:52:18 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 6:52:14 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 5:52:10 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 4:52:27 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 3:50:01 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 2:49:56 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 1:49:52 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 12:49:46 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 12:35:43 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 11:49:44 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 10:49:40 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 9:49:36 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 8:49:31 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 7:49:27 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 6:49:23 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 5:49:19 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 4:49:15 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 3:49:11 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 2:49:06 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 1:49:02 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/6/2018 12:48:59 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 11:48:54 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 10:48:50 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 9:48:38 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 9:36:16 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 8:48:34 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 8:26:25 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 7:48:30 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 6:48:26 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 5:48:23 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 3:08:28 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 2:48:10 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 2:29:53 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 1:52:19 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 1:48:06 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 12:48:02 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 11:47:58 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 10:47:54 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 9:47:50 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 8:47:47 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 7:47:42 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 6:47:39 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 5:47:31 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 4:47:31 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 3:47:27 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 2:47:23 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 1:47:19 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 12:47:15 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/5/2018 12:30:44 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 11:47:11 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 10:47:27 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 9:47:23 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 9:36:15 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 8:47:19 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 7:47:15 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 6:47:12 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 6:07:52 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 5:47:08 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 4:47:04 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 3:46:37 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 2:46:33 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 1:46:29 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 12:46:25 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 11:46:21 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 10:46:17 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 9:46:13 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 8:46:09 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 7:46:05 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 6:46:01 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 5:45:58 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 4:45:53 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 4:35:43 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 3:45:49 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 2:45:45 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 1:45:41 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 12:45:38 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/4/2018 12:30:44 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 11:45:33 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 10:45:30 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 9:45:26 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 9:35:45 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 8:45:22 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 7:45:18 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 6:45:14 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 5:45:11 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 4:45:06 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 3:59:59 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 3:45:02 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 2:44:58 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 1:44:54 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 12:44:50 PM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 11:44:46 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 11:05:43 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 10:44:43 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 9:44:39 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 8:44:35 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 7:44:31 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 6:44:27 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 5:44:13 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
"9/3/2018 4:44:09 AM","ROOT\CIMV2","SELECT * FROM Win32_ProcessStartTrace WHERE ProcessName = 'wsmprovhost.exe'","5860"
